Breakdown by Connector,Vsessionid,Party Consolidated Connector,Race Connector,Race x Education Connector,Voters Gender,Econ Score,Q Age,Social Score,Weights Lv
Strong Populists,1750123442_6850c3b247cbd4.99924088,Republican,White Non-College,White Non-College,M,24.456521739,40,82.978723404,4.137277165
Strong Populists,1750023242_684f3c4ac2b631.45068545,Republican,White Non-College,White Non-College,F,3.260869565,52,89.361702128,0.861233941
Strong Populists,1750001591_684ee7b7bb81b6.59323532,Democrat,Black,Non-White Non-College,M,21.739130435,56,84.574468085,0.279819791
Strong Populists,1750001376_684ee6e0707bb1.94278762,Republican,Native and Other,Non-White Non-College,M,19.565217391,59,100,2.552682197
Strong Populists,1750000129_684ee201719b26.86594181,Independent,White Non-College,White Non-College,M,13.043478261,65,75.531914894,0.378431127
Strong Populists,1749937576_684deda88334e0.31219695,Republican,White Non-College,White Non-College,F,19.021739130,61,88.829787234,0.712022513
Strong Populists,1749899823_684d5a2f192833.46089377,Republican,White Non-College,White Non-College,F,7.065217391,71,96.276595745,0.464128841
Strong Populists,1749870291_684ce6d330b549.25283519,Independent,White Non-College,White Non-College,F,14.673913043,69,80.851063830,1.995382758
Strong Populists,1749870139_684ce63b232e68.06084631,Republican,White Non-College,White Non-College,M,17.391304348,28,77.659574468,0.373897160
Strong Populists,1749772858_684b6a3a072e83.10479985,Republican,White Non-College,White Non-College,M,17.391304348,60,90.957446809,1.451615358
Strong Progressives,1750149745_68512a71053ee2.87964763,Democrat,Hispanic,Non-White College,F,1.630434783,35,0,2.348067422
Strong Progressives,1750127890_6850d51214db26.04258713,Democrat,White Non-College,White Non-College,M,11.413043478,75,20.744680851,0.908638159
Strong Progressives,1750127699_6850d453965944.63461367,Democrat,White College,White College,F,0,26,11.170212766,1.566878046
Strong Progressives,1750120237_6850b72d102278.71065977,Democrat,White College,White College,F,14.673913043,49,10.106382979,2.433846505
Strong Progressives,1750113734_68509dc6e02b15.35851174,Independent,White Non-College,White Non-College,M,11.956521739,43,24.468085106,2.174998180
Strong Progressives,1750096332_685059cc59d724.51834006,Democrat,White Non-College,White Non-College,F,0,39,3.723404255,2.621700120
Strong Progressives,1750089538_68503f427f1aa5.57441159,Democrat,White College,White College,M,10.326086957,64,23.936170213,1.678286716
Strong Progressives,1750089248_68503e206831a6.70278073,Democrat,White College,White College,F,23.913043478,22,15.957446809,2.252306336
Strong Progressives,1750077815_6850117765eaa5.11262355,Democrat,White College,White College,M,0,49,23.404255319,2.654239639
Strong Progressives,1750031884_684f5e0c71d8e5.48578254,Democrat,Native and Other,Non-White College,M,0,27,18.085106383,0.470137620
Strong Progressives,1750024234_684f402a85eb38.10552654,Independent,Black,Non-White Non-College,F,15.217391304,42,24.468085106,1.041890228
Strong Progressives,1750023382_684f3cd6ad6ab4.53693332,Democrat,White College,White College,F,0,45,0,1.930845201
Strong Progressives,1750023178_684f3c0a9f72c1.68993162,Democrat,Black,Non-White Non-College,M,20.652173913,52,21.276595745,0.709039541
Strong Progressives,1750021580_684f35cc049d55.91315113,Democrat,Black,Non-White College,F,17.934782609,37,19.680851064,4.233704504
Strong Progressives,1750019785_684f2ec9471a66.35806588,Democrat,Black,Non-White College,F,21.195652174,51,23.936170213,1.018743623
Strong Progressives,1750018595_684f2a23669729.91697483,Democrat,Black,Non-White Non-College,F,11.956521739,54,4.255319149,0.514098663
Strong Progressives,1750017826_684f272210c0a7.17594559,Democrat,Hispanic,Non-White Non-College,F,8.152173913,68,6.382978723,0.599747707
Strong Progressives,1750015085_684f1c6d4bfe53.85553192,Democrat,Hispanic,Non-White College,F,21.195652174,60,19.148936170,2.057846931
Strong Progressives,1750014536_684f1a484b9e38.72547749,Democrat,White Non-College,White Non-College,F,0,33,0,1.003245531
Strong Progressives,1750013637_684f16c5baaa12.47814595,Democrat,White Non-College,White Non-College,M,14.673913043,73,21.276595745,0.640780050
Strong Progressives,1750013268_684f1554608d58.43148672,Democrat,Hispanic,Non-White Non-College,F,13.043478261,40,14.893617021,0.922087276
